"","from","to","database","source"
"3849","PTH2","GPR84","omnipath","omnipath"
"3850","PTH2","ADRB2","omnipath","omnipath"
"3851","PTH2","ADRB3","omnipath","omnipath"
"3852","PTH2","VIPR1","omnipath","omnipath"
"3853","PTH2","RAMP3","omnipath","omnipath"
"3854","PTH2","RAMP2","omnipath","omnipath"
"3855","PTHLH","PRLHR","nichenet_verschueren","nichenet_verschueren"
"3856","PTHLH","PTH1R","omnipath","omnipath"
"3857","PTHLH","PTH2R","omnipath","omnipath"
"3858","PTHLH","ADCYAP1R1","omnipath","omnipath"
"3859","PTHLH","GPR84","omnipath","omnipath"
"3860","PTHLH","RAMP3","omnipath","omnipath"
"3861","PTHLH","RAMP2","omnipath","omnipath"
"3862","PTHLH","ADRB2","omnipath","omnipath"
"3863","PTHLH","VIPR1","omnipath","omnipath"
"3864","PTHLH","ADRB3","omnipath","omnipath"
"3865","PTHLH","GPR20","omnipath","omnipath"
"3866","PTHLH","TSHR","omnipath","omnipath"
"3867","PTN","ALK","omnipath","omnipath"
"3868","PTN","SDC1","omnipath","omnipath"
"3869","PTN","SDC3","omnipath","omnipath"
"3870","PTN","PTPRZ1","omnipath","omnipath"
"3871","PTN","PTPRS","omnipath","omnipath"
"3872","PTN","PTPRB","omnipath","omnipath"
"3873","PTN","SDC2","omnipath","omnipath"
"3874","PTN","SDC4","omnipath","omnipath"
"3875","PTN","PLXNB2","omnipath","omnipath"
"3876","PTN","CDH10","omnipath","omnipath"
"3877","PTN","ITGAV","omnipath","omnipath"
"3878","PTN","ITGB3","omnipath","omnipath"
"3879","PTPRC","CD22","omnipath","omnipath"
"3880","PTPRC","MRC1","omnipath","omnipath"
"3881","PTPRC","DPP4","omnipath","omnipath"
"3882","PTPRC","CD247","omnipath","omnipath"
"3883","PTPRC","CD4","omnipath","omnipath"
"3884","PTPRK","EGFR","omnipath","omnipath"
"3885","PTPRM","PTPRM","nichenet_verschueren","nichenet_verschueren"
"3886","PTPRM","CDH1","omnipath","omnipath"
"3887","PTPRM","SIGLEC10","omnipath","omnipath"
"3888","PTPRZ1","ALK","omnipath","omnipath"
"3889","PTPRZ1","CNTN1","omnipath","omnipath"
"3890","PTPRZ1","NCAM1","omnipath","omnipath"
"3891","PTPRZ1","NTRK1","omnipath","omnipath"
"3892","PVR","CD226","omnipath","omnipath"
"3893","PVR","TIGIT","omnipath","omnipath"
"3894","PVR","CD96","omnipath","omnipath"
"3895","PVR","PVRIG","omnipath","omnipath"
