"","from","to","database","source"
"2043","Fgf4","Fgfr3","omnipath","omnipath"
"2044","Fgf4","Fgfr4","omnipath","omnipath"
"2045","Fgf4","Nrp1","omnipath","omnipath"
"2046","Fgf5","Fgfr1","omnipath","omnipath"
"2047","Fgf5","Fgfr2","omnipath","omnipath"
"2048","Fgf5","Fgfr3","omnipath","omnipath"
"2049","Fgf5","Fgfr4","omnipath","omnipath"
"2050","Fgf6","Fgfr1","omnipath","omnipath"
"2051","Fgf6","Fgfr2","omnipath","omnipath"
"2052","Fgf6","Fgfr3","omnipath","omnipath"
"2053","Fgf6","Fgfr4","omnipath","omnipath"
"2054","Fgf6","Sdc4","omnipath","omnipath"
"2055","Fgf7","Fgfr1","omnipath","omnipath"
"2056","Fgf7","Fgfr2","omnipath","omnipath"
"2057","Fgf7","Fgfr3","omnipath","omnipath"
"2058","Fgf7","Fgfr4","omnipath","omnipath"
"2059","Fgf7","Nrp1","omnipath","omnipath"
"2060","Fgf8","Fgfr1","omnipath","omnipath"
"2061","Fgf8","Fgfr2","omnipath","omnipath"
"2062","Fgf8","Fgfr3","omnipath","omnipath"
"2063","Fgf8","Fgfr4","omnipath","omnipath"
"2064","Fgf8","Fgfrl1","omnipath","omnipath"
"2065","Fgf9","Fgfr1","omnipath","omnipath"
"2066","Fgf9","Fgfr2","omnipath","omnipath"
"2067","Fgf9","Fgfr3","omnipath","omnipath"
"2068","Fgf9","Fgfr4","omnipath","omnipath"
"2069","Fgfrl1","Fgfr1","omnipath","omnipath"
"2070","Fgfrl1","Gp6","omnipath","omnipath"
"2071","Fgfrl1","Gpc4","nichenet_verschueren","nichenet_verschueren"
"2072","Fgfrl1","Nrxn2","nichenet_verschueren","nichenet_verschueren"
"2073","Fgfrl1","Nrxn3","nichenet_verschueren","nichenet_verschueren"
"2074","Fgfrl1","Plvap","omnipath","omnipath"
"2075","Fgg","Itga2b","omnipath","omnipath"
"2076","Fgg","Itga5","omnipath","omnipath"
"2077","Fgg","Itgav","omnipath","omnipath"
"2078","Fgg","Itgb1","omnipath","omnipath"
"2079","Fgg","Itgb2","omnipath","omnipath"
"2080","Fgg","Itgb2l","omnipath","omnipath"
"2081","Fgg","Itgb3","omnipath","omnipath"
"2082","Fgg","Tlr4","omnipath","omnipath"
"2083","Fgl1","Egfr","omnipath","omnipath"
"2084","Fgl1","Lag3","omnipath","omnipath"
"2085","Flrt1","Unc5a","omnipath","omnipath"
"2086","Flrt1","Unc5b","omnipath","omnipath"
"2087","Flrt1","Unc5c","nichenet_verschueren","nichenet_verschueren"
"2088","Flrt1","Unc5d","omnipath","omnipath"
"2089","Flrt2","Flt4","nichenet_verschueren","nichenet_verschueren"
"2090","Flrt2","Unc5a","omnipath","omnipath"
"2091","Flrt2","Unc5b","omnipath","omnipath"
"2092","Flrt2","Unc5c","nichenet_verschueren","nichenet_verschueren"
"2093","Flrt2","Unc5d","omnipath","omnipath"
"2094","Flrt3","Unc5a","omnipath","omnipath"
"2095","Flrt3","Unc5b","omnipath","omnipath"
"2096","Flrt3","Unc5c","nichenet_verschueren","nichenet_verschueren"
"2097","Flrt3","Unc5d","omnipath","omnipath"
"2098","Flt3l","Flt3","omnipath","omnipath"
"2099","Fn1","Cd44","omnipath","omnipath"
"2100","Fn1","Col13a1","omnipath","omnipath"
"2101","Fn1","Itga2","nichenet_verschueren","nichenet_verschueren"
"2102","Fn1","Itga2b","nichenet_verschueren","nichenet_verschueren"
"2103","Fn1","Itga3","nichenet_verschueren","nichenet_verschueren"
"2104","Fn1","Itga4","omnipath","omnipath"
"2105","Fn1","Itga5","omnipath","omnipath"
"2106","Fn1","Itga8","omnipath","omnipath"
"2107","Fn1","Itga9","omnipath","omnipath"
"2108","Fn1","Itgav","omnipath","omnipath"
"2109","Fn1","Itgb1","omnipath","omnipath"
"2110","Fn1","Itgb3","omnipath","omnipath"
"2111","Fn1","Itgb6","omnipath","omnipath"
"2112","Fn1","Itgb7","omnipath","omnipath"
"2113","Fn1","Itgb8","nichenet_verschueren","nichenet_verschueren"
"2114","Fn1","Mag","omnipath","omnipath"
"2115","Fn1","Nt5e","omnipath","omnipath"
"2116","Fn1","Plaur","omnipath","omnipath"
"2117","Fn1","Sdc1","nichenet_verschueren","nichenet_verschueren"
"2118","Fn1","Sdc2","omnipath","omnipath"
"2119","Fn1","Tnfrsf11b","omnipath","omnipath"
"2120","Fn1","Tshr","omnipath","omnipath"
"2121","Fndc5","Itgav","omnipath","omnipath"
"2122","Fndc5","Itgb5","omnipath","omnipath"
"2123","Fshb","Adcyap1r1","omnipath","omnipath"
"2124","Fshb","Adrb2","omnipath","omnipath"
"2125","Fshb","Adrb3","omnipath","omnipath"
"2126","Fshb","Fshr","omnipath","omnipath"
"2127","Fshb","Gpr20","omnipath","omnipath"
"2128","Fshb","Gpr84","omnipath","omnipath"
"2129","Fshb","Pth1r","omnipath","omnipath"
"2130","Fshb","Ramp2","omnipath","omnipath"
